transaction_id,user_id,timestamp,amount,payment_method,merchant_category,device_id,ip_address,geo_location,user_transaction_count_last_1h,user_transaction_count_last_24h,amount_zscore_vs_user_history,geo_distance_from_last_txn_km,is_new_device,is_fraud
TXN_0015582,USR_00438,2024-06-15 12:16:57,3560.28,netbanking,entertainment,DEV_000869,221.235.73.61,Delhi,4,1,0.1105,2.3,0,0
TXN_0011062,USR_00231,2024-01-20 23:14:03,542.93,netbanking,clothing,DEV_000480,234.135.88.9,Nagpur,4,1,-1.789,10.65,0,0
TXN_0004985,USR_00304,2024-06-07 11:21:31,14189.91,card,electronics,DEV_000868,117.32.151.119,Mumbai,2,8,1.6358,31.93,0,0
TXN_0004020,USR_00015,2024-01-09 06:41:30,12565.19,UPI,travel,DEV_000283,42.250.105.89,Hyderabad,4,7,2.1699,38.06,0,0
TXN_0003075,USR_00410,2024-03-30 23:58:42,12933.77,UPI,healthcare,DEV_001097,51.72.45.235,Ahmedabad,1,11,1.8181,0.54,0,0
TXN_0009384,USR_00481,2024-02-09 21:54:06,2271.63,UPI,electronics,DEV_001129,114.140.86.183,Lucknow,3,5,-0.7232,15.42,0,0
TXN_0008342,USR_00052,2024-01-01 16:26:01,10922.2,UPI,education,DEV_000812,250.221.189.91,Pune,3,3,2.5836,1.41,0,0
TXN_0002933,USR_00501,2024-04-27 07:45:15,1034.17,UPI,grocery,DEV_000991,166.6.48.182,Chennai,1,10,0.9553,22.44,0,0
TXN_0000597,USR_00391,2024-04-09 05:33:15,723.07,netbanking,education,DEV_000895,181.254.4.60,Indore,2,1,-0.9788,41.51,0,0
TXN_0013463,USR_00416,2024-03-18 16:05:45,731.1,netbanking,education,DEV_000738,239.42.150.2,Surat,2,8,-1.1072,28.52,0,0
TXN_0012876,USR_00546,2024-05-17 14:04:11,1760.05,netbanking,electronics,DEV_001184,142.199.218.88,Mumbai,4,1,-2.2143,40.97,0,0
TXN_0013246,USR_00290,2024-06-20 21:31:15,6951.1,netbanking,education,DEV_000547,223.192.72.193,Hyderabad,3,7,2.6253,2.34,0,0
TXN_0001945,USR_00566,2024-02-26 04:31:45,6369.61,UPI,electronics,DEV_000808,151.131.194.13,Lucknow,4,5,-0.3696,47.68,0,0
TXN_0003357,USR_00720,2024-01-31 07:27:32,821.82,netbanking,food_delivery,DEV_000064,171.141.198.203,Kolkata,3,1,-2.1287,10.67,0,0
TXN_0001681,USR_00434,2024-05-28 04:04:47,2362.39,netbanking,food_delivery,DEV_000894,252.135.213.68,Bhopal,3,4,-0.0242,48.24,0,0
TXN_0014603,USR_00153,2024-03-10 09:27:04,5404.18,card,education,DEV_000945,20.190.252.62,Bangalore,3,7,0.5068,1022.6,0,1
TXN_0003757,USR_00277,2024-03-07 19:47:42,3575.6,card,healthcare,DEV_000190,222.242.215.110,Hyderabad,1,7,2.0421,14.42,0,0
TXN_0013271,USR_00425,2024-06-18 17:04:41,2963.32,UPI,grocery,DEV_000276,2.60.79.148,Ahmedabad,1,5,-0.1816,13.78,0,0
TXN_0011689,USR_00575,2024-05-27 21:22:20,9734.58,UPI,fuel,DEV_000462,137.172.120.125,Bangalore,3,11,1.3071,16.34,0,0
TXN_0003568,USR_00252,2024-03-19 16:46:36,5473.17,UPI,healthcare,DEV_000487,205.120.2.193,Hyderabad,4,3,0.2243,7.88,0,0
TXN_0001544,USR_00342,2024-01-29 18:30:42,234.47,UPI,utilities,DEV_000115,155.127.246.72,Mumbai,4,4,-0.6022,40.92,0,0
TXN_0013873,USR_00492,2024-06-20 05:47:38,6084.31,netbanking,healthcare,DEV_000691,17.181.127.62,Indore,3,7,-0.2074,34.43,0,0
TXN_0003554,USR_00601,2024-05-09 19:30:45,368.23,card,grocery,DEV_000378,129.93.107.1,Indore,2,5,-1.8401,41.56,0,0
TXN_0014998,USR_00571,2024-04-29 19:11:02,4672.13,card,entertainment,DEV_001103,208.12.118.6,Surat,4,7,-0.8841,12.98,0,0
